年月日,基準価額(円),純資産総額（百万円）,分配金,決算期
2023年10月27日,9888,1,,
2023年10月30日,9806,1,,
2023年10月31日,9901,24,,
2023年11月01日,10091,395,,
2023年11月02日,10138,479,,
2023年11月06日,10364,746,,
2023年11月07日,10416,1027,,
2023年11月08日,10484,1436,,
2023年11月09日,10519,1640,,
2023年11月10日,10460,1857,,
2023年11月13日,10645,2250,,
2023年11月14日,10639,2422,,
2023年11月15日,10766,2789,,
2023年11月16日,10835,3027,,
2023年11月17日,10808,3785,,
2023年11月20日,10763,3978,,
2023年11月21日,10719,4163,,
2023年11月22日,10708,4481,,
2023年11月24日,10842,4767,,
2023年11月27日,10841,4918,,
2023年11月28日,10723,5198,,
2023年11月29日,10642,5524,,
2023年11月30日,10644,5777,,
2023年12月01日,10745,5990,,
2023年12月04日,10701,6151,,
2023年12月05日,10699,7107,,
2023年12月06日,10702,7579,,
2023年12月07日,10654,7809,,
2023年12月08日,10453,7873,,
2023年12月11日,10654,8268,,
2023年12月12日,10732,9013,,
2023年12月13日,10763,9578,,
2023年12月14日,10675,9737,,
2023年12月15日,10708,9941,,
2023年12月18日,10676,10127,,
2023年12月19日,10767,10546,,
2023年12月20日,10933,11151,,
2023年12月21日,10734,11203,,
2023年12月22日,10758,11516,,
2023年12月25日,10768,11856,,
2023年12月26日,10772,12188,,
2023年12月27日,10857,12284,,
2023年12月28日,10802,13475,,
2023年12月29日,10806,13834,,
2024年01月04日,10748,14376,,
2024年01月05日,10832,15031,,
2024年01月09日,10925,28953,,
2024年01月10日,10963,30661,,
2024年01月11日,11100,37332,,
2024年01月12日,11068,38698,,
2024年01月15日,11065,39892,,
2024年01月16日,11122,41316,,
2024年01月17日,11198,41596,,
2024年01月18日,11197,44697,,
2024年01月19日,11289,45874,,
2024年01月22日,11430,47330,,
2024年01月23日,11452,48269,,
2024年01月24日,11487,50496,,
2024年01月25日,11473,51557,,
2024年01月26日,11522,52814,,
2024年01月29日,11556,53952,,
2024年01月30日,11576,54757,,
2024年01月31日,11582,56433,,
2024年02月01日,11342,56041,,
2024年02月02日,11457,58668,,
2024年02月05日,11759,71599,,
2024年02月06日,11715,72900,,
2024年02月07日,11680,74667,,
2024年02月08日,11798,76439,,
2024年02月09日,11916,78603,,
2024年02月13日,11964,84156,,
2024年02月14日,11904,84620,,
2024年02月15日,12002,87749,,
2024年02月16日,12058,89067,,
2024年02月19日,11982,90066,,
2024年02月20日,12011,91714,,
2024年02月21日,11924,91051,,
2024年02月22日,11968,93728,,
2024年02月26日,12210,96357,,
2024年02月27日,12188,96753,,
2024年02月28日,12196,98851,,
2024年02月29日,12192,99414,,
2024年03月01日,12227,100581,,
2024年03月04日,12309,102220,,
2024年03月05日,12322,108260,,
2024年03月06日,12167,108411,,
2024年03月07日,12147,109129,,
2024年03月08日,12177,110175,,
2024年03月11日,12014,109994,,
2024年03月12日,12004,114452,,
2024年03月13日,12194,117472,,
2024年03月14日,12184,117901,,
2024年03月15日,12228,118791,,
2024年03月18日,12204,119337,,
2024年03月19日,12279,120873,,
2024年03月21日,12586,124704,,
2024年03月22日,12693,126142,,
2024年03月25日,12662,126809,,
2024年03月26日,12615,127062,,
2024年03月27日,12601,128340,,
2024年03月28日,12707,130118,,
2024年03月29日,12711,130730,,
2024年04月01日,12713,131466,,
2024年04月02日,12715,131487,,
2024年04月03日,12611,137051,,
2024年04月04日,12638,137940,,
2024年04月05日,12421,136069,,
2024年04月08日,12625,139032,,
2024年04月09日,12636,139804,,
2024年04月10日,12642,145400,,
2024年04月11日,12621,145492,,
2024年04月12日,12721,147373,,
2024年04月15日,12569,146203,,
2024年04月16日,12495,145824,,
2024年04月17日,12499,146965,,
2024年04月18日,12400,146112,,
2024年04月19日,12397,146420,,
2024年04月22日,12293,145594,,
2024年04月23日,12405,147184,,
2024年04月24日,12554,149630,,
2024年04月25日,12610,150942,,
2024年04月26日,12572,151085,,
2024年04月30日,12834,154749,,
2024年05月01日,12718,153715,,
2024年05月02日,12528,152199,,
2024年05月07日,12766,161047,,
2024年05月08日,12853,162615,,
2024年05月09日,12911,164573,,
2024年05月10日,12984,171032,,
2024年05月13日,13030,172161,,
2024年05月14日,13059,173373,,
2024年05月15日,13138,175242,,
2024年05月16日,13074,174692,,
2024年05月17日,13188,176931,,
